Calculations where done for pi- production on the basis
 S.V Goloskokov, P. Kroll, Euro. Phys. J C65, 137-151 (2010)
 S.V Goloskokov, P. Kroll,  Euro. Phys. J. A47, 112 (2011).

for values of W and Q^2 from your files.
First  sets are from noFR_n_0_new1.dat file for few t' and t values.
later on are the sets from noFR_n_0_new2.dat file for few t' and t values.
Tha asymmetries are:

asy= AUT(sin(phi-phi_S))
asysfi=AUT(sin(phi_S))
asy2fi=AUT(sin(2phi-phi_S))
asyfpfs=AUT(sin(phi+phi_S))
asy3f=asy2fi=AUT(sin(3phi-phi_S))
================

      w          q2       t'         t       asy      asysfi     asy2fi   asyfpfs    asy3f
 
     3.166     4.107     0.000     0.124     0.000     0.329     0.000     0.000     0.000
     3.166     4.107     0.025     0.149    -0.082     0.325    -0.010     0.021     0.000
     3.166     4.107     0.050     0.174    -0.108     0.321    -0.019     0.029    -0.001
     3.166     4.107     0.075     0.199    -0.122     0.317    -0.027     0.034    -0.002
     3.166     4.107     0.100     0.224    -0.131     0.314    -0.034     0.038    -0.003
     3.166     4.107     0.125     0.249    -0.136     0.309    -0.040     0.040    -0.003
     3.166     4.107     0.150     0.274    -0.138     0.304    -0.044     0.042    -0.004
     3.166     4.107     0.175     0.299    -0.138     0.301    -0.048     0.043    -0.005
     3.166     4.107     0.200     0.324    -0.137     0.296    -0.052     0.044    -0.006
     3.166     4.107     0.225     0.349    -0.134     0.291    -0.055     0.045    -0.006
     3.166     4.107     0.250     0.374    -0.132     0.287    -0.057     0.046    -0.007
     3.166     4.107     0.275     0.399    -0.128     0.283    -0.058     0.046    -0.007
     3.166     4.107     0.300     0.424    -0.124     0.278    -0.060     0.046    -0.008
     3.166     4.107     0.325     0.449    -0.120     0.274    -0.061     0.046    -0.008
     3.166     4.107     0.350     0.474    -0.116     0.269    -0.062     0.046    -0.009
     3.166     4.107     0.400     0.524    -0.107     0.260    -0.062     0.046    -0.010
     3.166     4.107     0.500     0.624    -0.091     0.244    -0.062     0.045    -0.011
     3.015     4.355     0.000     0.163     0.000     0.370     0.000     0.000     0.000
     3.015     4.355     0.025     0.188    -0.077     0.365    -0.009     0.024     0.000
     3.015     4.355     0.050     0.213    -0.103     0.360    -0.017     0.033    -0.001
     3.015     4.355     0.075     0.238    -0.118     0.356    -0.025     0.038    -0.002
     3.015     4.355     0.100     0.263    -0.128     0.350    -0.031     0.043    -0.002
     3.015     4.355     0.125     0.288    -0.134     0.345    -0.037     0.046    -0.003
     3.015     4.355     0.150     0.313    -0.137     0.339    -0.042     0.048    -0.004
     3.015     4.355     0.175     0.338    -0.139     0.334    -0.046     0.050    -0.005
     3.015     4.355     0.200     0.363    -0.140     0.329    -0.049     0.051    -0.005
     3.015     4.355     0.225     0.388    -0.139     0.324    -0.052     0.052    -0.006
     3.015     4.355     0.250     0.413    -0.138     0.319    -0.055     0.053    -0.007
     3.015     4.355     0.275     0.438    -0.134     0.314    -0.057     0.054    -0.007
     3.015     4.355     0.300     0.463    -0.133     0.308    -0.058     0.053    -0.008
     3.015     4.355     0.325     0.488    -0.130     0.303    -0.060     0.054    -0.008
     3.015     4.355     0.350     0.513    -0.126     0.299    -0.061     0.054    -0.009
     3.015     4.355     0.400     0.563    -0.119     0.289    -0.063     0.054    -0.010
     3.015     4.355     0.500     0.663    -0.105     0.270    -0.063     0.052    -0.011
     2.865     4.740     0.000     0.226     0.000     0.374     0.000     0.000     0.000
     2.865     4.740     0.025     0.251    -0.060     0.368    -0.007     0.023     0.000
     2.865     4.740     0.050     0.276    -0.080     0.361    -0.013     0.031    -0.001
     2.865     4.740     0.075     0.301    -0.092     0.354    -0.018     0.037    -0.001
     2.865     4.740     0.100     0.326    -0.100     0.347    -0.023     0.041    -0.002
     2.865     4.740     0.125     0.351    -0.106     0.340    -0.027     0.043    -0.002
     2.865     4.740     0.150     0.376    -0.108     0.334    -0.030     0.046    -0.003
     2.865     4.740     0.175     0.401    -0.111     0.327    -0.033     0.047    -0.003
     2.865     4.740     0.200     0.426    -0.111     0.321    -0.036     0.049    -0.004
     2.865     4.740     0.225     0.451    -0.111     0.314    -0.038     0.050    -0.004
     2.865     4.740     0.250     0.476    -0.110     0.308    -0.040     0.050    -0.005
     2.865     4.740     0.275     0.501    -0.108     0.302    -0.042     0.051    -0.005
     2.865     4.740     0.300     0.526    -0.107     0.296    -0.043     0.051    -0.006
